id,fecha,producto,categoria,cantidad,precio,ciudad,cliente
79,2025-10-12,Teclado Mecánico,Accesorios,5.0,197200.0,Bucaramanga,Cliente_069
477,2025-11-09,Mouse Logitech,Accesorios,3.0,84100.0,Cali,Cliente_070
227,2025-06-14,Tablet Samsung,Tecnología,6.0,1163400.0,Villavicencio,Cliente_122
145,2025-05-13,Disco SSD 1TB,Almacenamiento,,393000.0,Villavicencio,Cliente_012
404,2025-10-08,Mouse Logitech,Accesorios,2.0,89400.0,Barranquilla,Cliente_054
496,2025-11-15,Parlante Bluetooth,Audio,3.0,241400.0,Villavicencio,Cliente_032
607,2025-02-04,Disco SSD 500GB,Almacenamiento,2.0,228700.0,Pereira,Cliente_030
114,2025-09-09,Audífonos JBL,Audio,6.0,341700.0,Barranquilla,Cliente_164
215,2025-06-14,Webcam HD,Accesorios,6.0,184200.0,Bucaramanga,Cliente_142
261,2025-11-15,Disco SSD 500GB,Almacenamiento,6.0,253100.0,Bucaramanga,Cliente_088
210,2025-06-11,Memoria RAM 16GB,Componentes,3.0,279200.0,Cali,Cliente_087
313,2025-02-10,Disco SSD 1TB,Almacenamiento,1.0,362000.0,Bogotá,Cliente_008
270,2025-11-19,Audífonos JBL,Audio,2.0,317800.0,Medellín,Cliente_029
231,2025-02-15,Audífonos JBL,Audio,4.0,333900.0,Pereira,Cliente_130
168,2025-10-20,Parlante Bluetooth,Audio,6.0,,Bucaramanga,Cliente_139
528,2025-02-15,Cable HDMI,Accesorios,3.0,44200.0,Bucaramanga,Cliente_142
302,2025-08-02,Disco SSD 1TB,Almacenamiento,1.0,368800.0,Bucaramanga,Cliente_117
611,2025-07-20,Webcam HD,Accesorios,5.0,184000.0,Ibagué,Cliente_001
490,2025-11-23,Monitor Samsung 24,Tecnología,7.0,748900.0,Bucaramanga,Cliente_033
100,2025-02-22,Teclado Mecánico,Accesorios,4.0,204200.0,Ibagué,Cliente_144
262,2025-06-02,Cable HDMI,Accesorios,6.0,45800.0,Ibagué,Cliente_052
609,2025-01-30,Parlante Bluetooth,Audio,1.0,242900.0,Ibagué,Cliente_067
23,2025-09-12,Teclado Mecánico,Accesorios,1.0,217500.0,Bucaramanga,Cliente_103
619,2025-08-19,Memoria RAM 16GB,Componentes,3.0,263200.0,Barranquilla,Cliente_039
388,2025-08-03,Teclado Mecánico,Accesorios,6.0,215700.0,Cali,
600,2025-07-22,Laptop Lenovo IdeaPad,Tecnología,6.0,2552600.0,Pereira,Cliente_179
474,2025-03-10,Parlante Bluetooth,Audio,3.0,257100.0,Barranquilla,Cliente_064
288,2025-07-11,Cable HDMI,Accesorios,2.0,47700.0,Ibagué,Cliente_029
336,2025-11-09,Webcam HD,Accesorios,3.0,187600.0,Pereira,Cliente_118
260,2025-10-20,Tablet Samsung,Tecnología,4.0,1193700.0,Barranquilla,Cliente_171
218,2025-01-11,Mouse Logitech,Accesorios,1.0,89300.0,Bogotá,Cliente_130
196,2025-07-01,Audífonos JBL,Audio,2.0,337400.0,Ibagué,Cliente_057
28,2025-03-03,Disco SSD 500GB,Almacenamiento,2.0,239700.0,Villavicencio,
439,2025-09-28,Disco SSD 500GB,Almacenamiento,2.0,221000.0,Villavicencio,Cliente_168
465,2025-03-17,Teclado Mecánico,Accesorios,6.0,216600.0,Bucaramanga,Cliente_058
361,2025-10-31,Tablet Samsung,Tecnología,4.0,1179800.0,Barranquilla,Cliente_044
440,2025-11-11,Mouse Logitech,Accesorios,7.0,79500.0, BUCARAMANGA ,Cliente_124
516,2025-12-30,Tablet Samsung,Tecnología,3.0,1330300.0,Cali,Cliente_131
617,2025-01-13,Disco SSD 1TB,Almacenamiento,4.0,367900.0,Pereira,Cliente_111
209,2025-09-21,Teclado Mecánico,Accesorios,7.0,196700.0,Barranquilla,Cliente_055
320,2025-07-30,Disco SSD 500GB,Almacenamiento,2.0,217000.0,Bucaramanga,Cliente_037
410,2025-10-14,Mouse Logitech,Accesorios,4.0,83200.0,Medellín,Cliente_005
385,2025-02-18,Tablet Samsung,Tecnología,7.0,1163900.0,Cali,Cliente_130
87,2025-03-06,Cable HDMI,Accesorios,5.0,45900.0,Villavicencio,Cliente_168
51,2025-06-10,Teclado Mecánico,Accesorios,5.0,200700.0,Cali,Cliente_033
412,2025-03-24,Mouse Logitech,Accesorios,5.0,86600.0,Villavicencio,Cliente_099
357,2025-11-12,Parlante Bluetooth,Audio,7.0,262600.0,Barranquilla,Cliente_161
38,2025-09-04,Disco SSD 500GB,Almacenamiento,2.0,253300.0,Cali,Cliente_123
58,2025-10-07,Teclado Mecánico,Accesorios,4.0,193700.0,Barranquilla,Cliente_046
486,2025-05-22,Parlante Bluetooth,Audio,2.0,256600.0,Villavicencio,Cliente_165
529,2025-02-04,Monitor Samsung 24,Tecnología,5.0,785800.0,Medellín,Cliente_030
144,2025-04-02,Teclado Mecánico,Accesorios,5.0,198900.0,Bogotá,Cliente_061
517,2025-10-04,Disco SSD 500GB,Almacenamiento,4.0,236000.0,Cali,Cliente_161
37,2025-05-06,Memoria RAM 16GB,Componentes,5.0,277900.0,Bogotá,Cliente_053
503,2025-09-25,Audífonos JBL,Audio,3.0,304400.0,Bogotá,Cliente_008
203,2025-02-18,Cable HDMI,Accesorios,6.0,43000.0,Ibagué,Cliente_081
387,2025-10-27,Disco SSD 1TB,Almacenamiento,2.0,401200.0,Barranquilla,Cliente_058
525,2025-10-29,Teclado Mecánico,Accesorios,1.0,203400.0,Cali,Cliente_142
31,2025-04-26,Tablet Samsung,Tecnología,3.0,1235400.0,Barranquilla,Cliente_003
106,2025-12-31,Disco SSD 1TB,Almacenamiento,3.0,395100.0,Villavicencio,Cliente_086
223,2025-02-09,Teclado Mecánico,Accesorios,1.0,202200.0,Bogotá,Cliente_025
174,2025-03-17,Audífonos JBL,Audio,3.0,342400.0,Medellín,Cliente_035
466,2025-07-11,Disco SSD 1TB,Almacenamiento,5.0,408000.0,Medellín,Cliente_176
645,2025-09-09,Disco SSD 1TB,Almacenamiento,1.0,414300.0,Medellín,Cliente_013
397,2025-08-25,Monitor Samsung 24,Tecnología,1.0,746000.0,Bogotá,Cliente_105
189,2025-03-10,Monitor Samsung 24,Tecnología,2.0,749000.0,Cali,Cliente_011
50,2025-12-04,Tablet Samsung,Tecnología,3.0,1344700.0,Bogotá,Cliente_054
379,2025-03-18,Cable HDMI,Accesorios,2.0,43200.0,Barranquilla,Cliente_153
8,2025-11-25,Audífonos JBL,Audio,3.0,329200.0,Ibagué,Cliente_018
319,2025-07-02,Webcam HD,Accesorios,5.0,183100.0,Pereira,Cliente_051
401,2025-10-18,Laptop Lenovo IdeaPad,Tecnología,2.0,2465600.0,Bucaramanga,Cliente_158
108,2025-10-02,Monitor Samsung 24,Tecnología,6.0,806000.0,Barranquilla,Cliente_108
428,2025-06-22,Laptop Lenovo IdeaPad,Tecnología,4.0,2430600.0,Medellín,Cliente_069
378,2025-05-23,Laptop Lenovo IdeaPad,Tecnología,6.0,2263300.0,Medellín,Cliente_160
411,2025-05-10,Teclado Mecánico,Accesorios,2.0,208600.0,Bucaramanga,Cliente_011
390,2025-11-29,Disco SSD 1TB,Almacenamiento,4.0,364300.0,Barranquilla,Cliente_031
574,2025-03-16,Tablet Samsung,Tecnología,7.0,1169800.0,Pereira,Cliente_160
181,2025-05-14,Teclado Mecánico,Accesorios,7.0,197100.0,Medellín,Cliente_135
308,2025-08-30,Disco SSD 500GB,Almacenamiento,4.0,229200.0,Cali,Cliente_097
41,2025-12-15,Tablet Samsung,Tecnología,4.0,1251600.0,Medellín,Cliente_148
585,2025-10-01,Teclado Mecánico,Accesorios,7.0,208100.0,Cali,Cliente_113
205,2025-08-12,Webcam HD,Accesorios,1.0,169400.0,Barranquilla,Cliente_179
352,2025-06-25,Tablet Samsung,Tecnología,1.0,1231400.0,Barranquilla,Cliente_073
492,2025-01-17,Tablet Samsung,Tecnología,7.0,1291600.0,Bogotá,Cliente_098
303,2025-07-28,Mouse Logitech,Accesorios,3.0,91600.0,Pereira,Cliente_021
365,2025-10-02,Monitor Samsung 24,Tecnología,5.0,777400.0,Bogotá,Cliente_078
153,2025-01-15,Parlante Bluetooth,Audio,6.0,,Pereira,Cliente_119
456,2025-05-01,Disco SSD 500GB,Almacenamiento,1.0,216600.0,Bogotá,Cliente_121
112,2025-07-10,Teclado Mecánico,Accesorios,5.0,201200.0,Cali,Cliente_113
156,2025-04-19,Monitor Samsung 24,Tecnología,2.0,816100.0,Bogotá,Cliente_111
192,2025-12-22,Webcam HD,Accesorios,4.0,177600.0,Pereira,Cliente_068
526,2025-12-21,Monitor Samsung 24,Tecnología,4.0,746600.0,Cali,Cliente_077
220,2025-02-22,Disco SSD 1TB,Almacenamiento,6.0,381400.0,Cali,Cliente_099
587,2025-11-01,Monitor Samsung 24,Tecnología,5.0,736800.0,Barranquilla,
289,2025-01-07,Disco SSD 500GB,Almacenamiento,4.0,240500,Barranquilla,
434,2025-08-08,Disco SSD 1TB,Almacenamiento,7.0,363900.0,Villavicencio,Cliente_136
200,2025-12-13,Mouse Logitech,Accesorios,7.0,82900.0,Villavicencio,Cliente_128
482,2025-07-03,Disco SSD 500GB,Almacenamiento,1.0,234500.0,Medellín,Cliente_084
582,2025-08-22,Cable HDMI,Accesorios,6.0,41600.0,Medellín,Cliente_050
569,,Laptop Lenovo IdeaPad,Tecnología,1.0,2419400.0,Villavicencio,Cliente_055
555,2025-12-10,Disco SSD 1TB,Almacenamiento,6.0,376100.0,Barranquilla,Cliente_049
436,2025-08-05,Monitor Samsung 24,Tecnología,6.0,726200.0,,Cliente_119
164,2025-04-04,Monitor Samsung 24,Tecnología,7.0,819600.0,Pereira,Cliente_179
138,2025-05-18,Laptop Lenovo IdeaPad,Tecnología,5.0,2566200.0,Pereira,Cliente_145
127,2025-01-23,Audífonos JBL,Audio,6.0,341200.0,Barranquilla,Cliente_053
282,2025-01-13,Disco SSD 500GB,Almacenamiento,7.0,223500.0,Bucaramanga,Cliente_155
383,2025-08-20,Memoria RAM 16GB,Componentes,5.0,265800.0,Barranquilla,Cliente_097
363,2025-01-21,Mouse Logitech,Accesorios,4.0,91200.0,Ibagué,Cliente_107
521,2025-09-29,Cable HDMI,Accesorios,3.0,41600.0,Bogotá,Cliente_066
104,2025-06-17,Disco SSD 1TB,Almacenamiento,7.0,385400.0,Bogotá,Cliente_137
143,2025-03-02,Teclado Mecánico,Accesorios,3.0,215600.0,Bogotá,Cliente_051
54,2025-09-21,Disco SSD 1TB,Almacenamiento,6.0,383300.0,Medellín,Cliente_027
500,2025-09-05,Parlante Bluetooth,Audio,1.0,240300.0,Bucaramanga,Cliente_131
337,2025-06-24,Monitor Samsung 24,Tecnología,4.0,722200.0,Barranquilla,Cliente_165
628,2025-10-21,Parlante Bluetooth,Audio,2.0,250700.0,Villavicencio,Cliente_087
631,2025-04-10,Cable HDMI,Accesorios,2.0,43700.0,Bogotá,Cliente_143
207,2025-03-19,Webcam HD,Accesorios,3.0,162800.0,Medellín,Cliente_175
606,2025-11-16,Teclado Mecánico,Accesorios,6.0,210900.0,Bucaramanga,Cliente_021
72,2025-11-07,Monitor Samsung 24,Tecnología,6.0,785100.0,Pereira,Cliente_052
248,2025-04-13,Memoria RAM 16GB,Componentes,5.0,283800.0,Villavicencio,Cliente_014
234,2025-08-20,Monitor Samsung 24,Tecnología,1.0,807600.0,Medellín,Cliente_054
416,2025-03-04,Disco SSD 500GB,Almacenamiento,6.0,232200.0,Barranquilla,Cliente_116
314,,Webcam HD,Accesorios,2.0,178500.0,Bucaramanga,Cliente_111
599,2025-08-16,Disco SSD 1TB,Almacenamiento,7.0,377700.0,Bucaramanga,Cliente_075
225,2025-04-08,Parlante Bluetooth,Audio,2.0,276700.0,Ibagué,Cliente_037
306,2025-02-10,Cable HDMI,Accesorios,6.0,46800,Villavicencio,Cliente_076
3,2025-05-11,Audífonos JBL,Audio,4.0,301700.0,Bucaramanga,Cliente_053
327,2025-05-05,Teclado Mecánico,Accesorios,3.0,202700.0,Cali,Cliente_131
5,2025-09-10,Laptop Lenovo IdeaPad,Tecnología,4.0,2493800.0,Cali,Cliente_089
621,2025-08-02,Audífonos JBL,Audio,3.0,327600.0,Ibagué,Cliente_081
589,2025-01-21,Teclado Mecánico,Accesorios,2.0,195100.0,Cali,Cliente_139
26,2025-08-19,Monitor Samsung 24,Tecnología,6.0,735000.0,Barranquilla,Cliente_143
627,2025-08-29,Disco SSD 500GB,Almacenamiento,1.0,228100.0,Bogotá,Cliente_093
47,2025-04-09,Cable HDMI,Accesorios,,43800.0,Medellín,Cliente_048
527,2025-09-08,Mouse Logitech,Accesorios,3.0,90500.0,Medellín,Cliente_151
295,2025-05-27,Audífonos JBL,Audio,3.0,343800.0,Villavicencio,Cliente_131
438,2025-12-17,Disco SSD 1TB,Almacenamiento,5.0,395100.0,Pereira,
430,,Cable HDMI,Accesorios,1.0,41900.0,Villavicencio,Cliente_133
116,2025-09-16,Laptop Lenovo IdeaPad,Tecnología,5.0,2527200.0,Pereira,Cliente_012
274,,Disco SSD 500GB,Almacenamiento,5.0,249800.0,Bogotá,Cliente_040
341,2025-07-25,Audífonos JBL,Audio,1.0,320400.0,Cali,Cliente_020
541,2025-07-20,Teclado Mecánico,Accesorios,4.0,197100.0,Barranquilla,Cliente_137
561,2025-08-03,Memoria RAM 16GB,Componentes,6.0,273900.0,Villavicencio,Cliente_175
172,2025-02-07,Laptop Lenovo IdeaPad,Tecnología,1.0,2487500.0,Ibagué,Cliente_163
18,2025-03-22,Webcam HD,Accesorios,7.0,183800.0,Pereira,Cliente_163
133,2025-09-12,Cable HDMI,Accesorios,1.0,45600.0,Ibagué,Cliente_151
349,2025-11-24,Webcam HD,Accesorios,1.0,161900.0,Villavicencio,Cliente_046
507,2025-02-09,Teclado Mecánico,Accesorios,3.0,202500.0,Bucaramanga,Cliente_161
195,2025-09-14,Tablet Samsung,Tecnología,6.0,1332100.0,Bucaramanga,Cliente_101
437,2025-05-20,Mouse Logitech,Accesorios,2.0,89100.0,Medellín,Cliente_002
103,2025-03-15,Mouse Logitech,Accesorios,7.0,80100.0,Bogotá,Cliente_145
290,2025-02-27,Laptop Lenovo IdeaPad,Tecnología,6.0,2399800.0,Ibagué,Cliente_026
276,2025-09-19,Cable HDMI,Accesorios,5.0,43300.0,Pereira,Cliente_147
163,2025-01-06,Audífonos JBL,Audio,4.0,345500.0,Bogotá,Cliente_075
345,,Mouse Logitech,Accesorios,2.0,88200.0,Bogotá,Cliente_085
332,2025-01-28,Laptop Lenovo IdeaPad,Tecnología,3.0,2376400.0,Bogotá,Cliente_163
579,2025-06-25,Laptop Lenovo IdeaPad,Tecnología,6.0,2586100.0,Cali,Cliente_065
462,2025-01-03,Memoria RAM 16GB,Componentes,4.0,285500,Pereira,Cliente_080
376,2025-08-30,Mouse Logitech,Accesorios,3.0,86700.0,Barranquilla,Cliente_175
142,2025-07-03,Webcam HD,Accesorios,4.0,166100.0,Villavicencio,Cliente_096
384,2025-12-19,Monitor Samsung 24,Tecnología,3.0,767700.0,Medellín,Cliente_070
191,2025-04-14,Cable HDMI,Accesorios,4.0,48000.0,Bucaramanga,Cliente_111
179,2025-01-23,Teclado Mecánico,Accesorios,5.0,203300.0,Ibagué,Cliente_143
85,2025-06-09,Memoria RAM 16GB,Componentes,2.0,263400.0,Medellín,Cliente_084
613,2025-09-17,Mouse Logitech,Accesorios,6.0,82000.0, BUCARAMANGA ,Cliente_102
45,2025-12-12,Teclado Mecánico,Accesorios,7.0,215400.0,Pereira,Cliente_060
307,2025-03-21,Tablet Samsung,Tecnología,6.0,1178500.0,Bucaramanga,Cliente_086
137,2025-09-04,Laptop Lenovo IdeaPad,Tecnología,7.0,2409400.0,Bogotá,Cliente_051
28,2025-03-03,Disco SSD 500GB,Almacenamiento,2.0,239700.0,Villavicencio,
505,2025-08-26,Webcam HD,Accesorios,7.0,179000.0,Pereira,Cliente_042
136,2025-11-04,Cable HDMI,Accesorios,3.0,47900.0,Villavicencio,Cliente_166
601,2025-04-02,Audífonos JBL,Audio,6.0,317700.0,Medellín,Cliente_175
246,2025-03-27,Memoria RAM 16GB,Componentes,1.0,270400.0,Bogotá,Cliente_135
646,2025-05-18,Tablet Samsung,Tecnología,1.0,1172300.0,Barranquilla,Cliente_044
27,2025-06-09,Cable HDMI,Accesorios,5.0,43000.0,Ibagué,Cliente_086
184,2025-09-11,Audífonos JBL,Audio,3.0,332500.0,Cali,Cliente_086
217,2025-02-05,Audífonos JBL,Audio,3.0,300700.0,Barranquilla,Cliente_082
498,2025-08-01,Disco SSD 1TB,Almacenamiento,7.0,371600.0,Ibagué,Cliente_116
143,2025-03-02,Teclado Mecánico,Accesorios,3.0,215600.0,Bogotá,Cliente_051
549,2025-05-16,Disco SSD 500GB,Almacenamiento,6.0,217900.0,Medellín,Cliente_124
308,2025-08-30,Disco SSD 500GB,Almacenamiento,4.0,229200.0,Cali,Cliente_097
417,2025-01-14,Teclado Mecánico,Accesorios,7.0,210900.0,Ibagué,Cliente_086
317,2025-01-12,Disco SSD 500GB,Almacenamiento,2.0,232700.0,Ibagué,Cliente_012
267,2025-03-02,Teclado Mecánico,Accesorios,4.0,226600.0,medellin ,Cliente_163
44,2025-05-31,Webcam HD,Accesorios,1.0,179900.0,Ibagué,Cliente_042
648,2025-05-18,Mouse Logitech,Accesorios,6.0,87800.0,Medellín,Cliente_153
339,2025-11-30,Disco SSD 1TB,Almacenamiento,4.0,392500.0,Bogotá,Cliente_037
259,2025-03-14,Tablet Samsung,Tecnología,1.0,1332100.0,Ibagué,Cliente_049
125,2025-04-08,Cable HDMI,Accesorios,1.0,47400.0,Villavicencio,Cliente_099
603,2025-12-03,Webcam HD,Accesorios,4.0,161100.0,Villavicencio,Cliente_096
229,2025-06-17,Tablet Samsung,Tecnología,7.0,1324800.0,Bogotá,Cliente_012
263,2025-12-15,Monitor Samsung 24,Tecnología,3.0,767700.0,Ibagué,Cliente_054
594,2025-05-27,Audífonos JBL,Audio,1.0,330800.0,Ibagué,Cliente_064
511,2025-09-26,Memoria RAM 16GB,Componentes,5.0,292700.0,Bogotá,Cliente_004
6,2025-06-19,Laptop Lenovo IdeaPad,Tecnología,3.0,2493800.0,Pereira,Cliente_015
457,2025-08-11,Monitor Samsung 24,Tecnología,3.0,812000.0,Ibagué,Cliente_070
641,2025-05-17,Monitor Samsung 24,Tecnología,7.0,807400.0,Villavicencio,Cliente_166
630,2025-04-17,Disco SSD 500GB,Almacenamiento,3.0,247300.0,Medellín,Cliente_137
534,2025-04-30,Tablet Samsung,Tecnología,4.0,1277000.0,Bucaramanga,Cliente_061
647,2025-06-14,Audífonos JBL,Audio,2.0,295200.0,Bucaramanga,Cliente_024
637,2025-10-20,Monitor Samsung 24,Tecnología,3.0,796800.0,Bogotá,Cliente_145
118,2025-05-16,Parlante Bluetooth,Audio,4.0,266100.0,Bogotá,Cliente_060
605,2025-12-15,Memoria RAM 16GB,Componentes,2.0,283900.0,Bucaramanga,Cliente_171
126,2025-01-06,Laptop Lenovo IdeaPad,Tecnología,5.0,2276100.0,Cali,Cliente_095
394,2025-10-13,Webcam HD,Accesorios,4.0,167800.0,Barranquilla,Cliente_084
597,2025-03-11,,Tecnología,6.0,1156900.0,Villavicencio,Cliente_115
575,2025-04-10,Parlante Bluetooth,Audio,3.0,264200.0,Cali,Cliente_161
519,2025-10-06,Mouse Logitech,Accesorios,2.0,86500.0,Pereira,Cliente_128
155,2025-05-25,Parlante Bluetooth,Audio,6.0,244200,Barranquilla,Cliente_025
296,2025-01-15,Cable HDMI,Accesorios,1.0,43700.0,Bogotá,Cliente_163
76,2025-05-06,Laptop Lenovo IdeaPad,Tecnología,7.0,2352100.0,Bucaramanga,Cliente_048
174,2025-03-17,Audífonos JBL,Audio,3.0,342400.0,Medellín,Cliente_035
551,2025-08-25,Webcam HD,Accesorios,6.0,178100,Cali,Cliente_056
52,2025-05-15,Audífonos JBL,Audio,4.0,313200.0,Medellín,Cliente_145
560,2025-01-08,Parlante Bluetooth,Audio,7.0,278900.0,Villavicencio,Cliente_091
236,2025-08-27,Webcam HD,Accesorios,1.0,168600.0,Cali,Cliente_081
344,2025-05-06,Disco SSD 1TB,Almacenamiento,4.0,366600.0,Barranquilla,Cliente_052
472,2025-04-17,Parlante Bluetooth,Audio,2.0,246100.0,Villavicencio,Cliente_094
343,2025-06-27,Tablet Samsung,Tecnología,7.0,1240900.0,Ibagué,Cliente_172
351,2025-08-08,Audífonos JBL,Audio,5.0,324000.0,Bogotá,Cliente_063
94,2025-04-06,Teclado Mecánico,Accesorios,4.0,205700.0,Pereira,Cliente_151
632,2025-07-17,Teclado Mecánico,Accesorios,5.0,207400.0,Pereira,Cliente_056
310,2025-12-25,Disco SSD 1TB,Almacenamiento,7.0,367100.0,Bogotá,Cliente_174
522,2025-07-20,Teclado Mecánico,Accesorios,4.0,216100.0,Cali,Cliente_124
149,2025-06-29,Laptop Lenovo IdeaPad,Tecnología,1.0,2488100.0,Ibagué,Cliente_047
608,2025-01-19,Tablet Samsung,Tecnología,6.0,1151800.0,Bogotá,Cliente_008
250,2025-07-02,Audífonos JBL,Audio,3.0,311800.0,Ibagué,Cliente_108
342,2025-10-26,Audífonos JBL,Audio,2.0,343800.0,Bucaramanga,Cliente_050
201,2025-06-28,Cable HDMI,Accesorios,3.0,44700.0,Bucaramanga,Cliente_152
479,2025-12-30,Monitor Samsung 24,Tecnología,1.0,837000.0,Bogotá,Cliente_158
92,2025-08-05,Cable HDMI,Accesorios,5.0,41700.0,Barranquilla,Cliente_164
221,2025-10-07,Monitor Samsung 24,Tecnología,2.0,812900.0,Villavicencio,Cliente_158
29,2025-12-06,Disco SSD 500GB,Almacenamiento,4.0,224400.0,Bucaramanga,Cliente_075
576,2025-06-05,Webcam HD,Accesorios,7.0,175300.0,Barranquilla,Cliente_007
73,2025-05-27,Mouse Logitech,Accesorios,4.0,87900.0,Villavicencio,Cliente_120
399,2025-11-07,Memoria RAM 16GB,Componentes,2.0,289600.0,Bucaramanga,Cliente_163
470,2025-03-19,Cable HDMI,Accesorios,7.0,44400.0,Cali,Cliente_075
281,2025-09-15,Memoria RAM 16GB,Componentes,7.0,262300.0,Bucaramanga,Cliente_077
593,2025-12-07,Parlante Bluetooth,Audio,3.0,247600.0,Pereira,Cliente_028
421,2025-07-07,Audífonos JBL,Audio,5.0,296600.0,Medellín,Cliente_149
301,2025-12-06,Memoria RAM 16GB,Componentes,1.0,289900.0,Cali,Cliente_009
183,2025-06-06,Laptop Lenovo IdeaPad,Tecnología,4.0,2544700.0,Bucaramanga,Cliente_097
176,2025-10-13,Tablet Samsung,Tecnología,5.0,1190300.0,Medellín,Cliente_165
374,2025-10-20,Webcam HD,Accesorios,1.0,167600.0,Cali,Cliente_050
271,2025-11-28,Tablet Samsung,Tecnología,3.0,1341100.0,Bogotá,Cliente_009
330,2025-02-10,Memoria RAM 16GB,Componentes,5.0,301200.0,Bucaramanga,Cliente_060
602,2025-02-17,Monitor Samsung 24,Tecnología,7.0,836900.0,Ibagué,Cliente_073
419,2025-05-18,Disco SSD 1TB,Almacenamiento,6.0,,Ibagué,Cliente_058
468,2025-09-08,Monitor Samsung 24,Tecnología,1.0,792300.0,Ibagué,Cliente_057
